                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    140,                0.68119,                0.50641,                 1.1213,                0.96261,                0.92681,                0.95975,                0.71615,                 1.0334,                0.53937,                 1.3377,               0.000892,               0.000892,               0.000892
                    141,                0.55538,                0.28953,                 1.0102,                0.96292,                0.92678,                0.95997,                0.71744,                 1.0313,                0.53887,                  1.336,               0.000826,               0.000826,               0.000826
                    142,                0.54153,                0.27957,                0.99574,                0.96283,                0.92682,                0.96023,                0.71825,                 1.0303,                0.53854,                 1.3356,                0.00076,                0.00076,                0.00076
                    143,                0.53025,                0.27056,                0.99115,                0.96301,                0.92684,                0.96053,                0.71797,                 1.0299,                0.53913,                 1.3355,               0.000694,               0.000694,               0.000694
                    144,                0.52662,                0.26889,                0.98748,                0.96318,                0.92686,                0.96062,                0.71722,                 1.0292,                0.53825,                  1.335,               0.000628,               0.000628,               0.000628
                    145,                0.51552,                0.26571,                0.98197,                0.96604,                0.92682,                0.96082,                0.71763,                 1.0274,                0.53909,                 1.3339,               0.000562,               0.000562,               0.000562
                    146,                0.50986,                0.26562,                0.97618,                0.96749,                0.92645,                0.96098,                0.71894,                 1.0268,                0.53881,                 1.3336,               0.000496,               0.000496,               0.000496
                    147,                0.50564,                 0.2593,                0.97199,                0.96764,                0.92648,                0.96138,                0.71834,                 1.0259,                0.53797,                 1.3335,                0.00043,                0.00043,                0.00043
                    148,                0.49919,                0.25671,                0.97252,                0.96791,                0.92649,                0.96167,                0.71862,                 1.0249,                0.53786,                 1.3334,               0.000364,               0.000364,               0.000364
                    149,                0.49666,                0.25601,                0.97073,                0.96806,                0.92651,                0.96179,                0.71884,                 1.0251,                0.53729,                 1.3334,               0.000298,               0.000298,               0.000298
                    150,                0.49431,                0.25389,                0.96924,                0.96818,                0.92653,                0.96186,                0.71882,                 1.0239,                0.53744,                 1.3333,               0.000232,               0.000232,               0.000232
